mes,vendedor,categoria,nombre,precio,cantidad,Total_Ingreso
Marzo,Andrés,Tecnología,Servidor Enterprise,5000.0,1,5000.0
Enero,Elena,Deportes,Gimnasio Completo,3500.0,1,3500.0
Febrero,Carlos,Tecnología,Laptop,372.66,4,1490.63
Enero,Diana,Deportes,Mat de Yoga,21.14,10,211.39
Marzo,Diana,Hogar,Licuadora,144.94,10,1449.38
Marzo,Carlos,Tecnología,Monitor 4K,721.14,4,2884.56
Enero,Carlos,Oficina,Silla Ergonómica,61.29,7,429.0
Febrero,Carlos,Deportes,Botella Térmica,80.56,1,80.56
Febrero,Beatriz,Oficina,Silla Ergonómica,51.72,2,103.45
Enero,Beatriz,Hogar,Lámpara LED,99.38,3,298.15
Enero,Elena,Oficina,Agenda,48.75,4,195.0
Febrero,Andrés,Hogar,Lámpara LED,38.7,3,116.09
Enero,Andrés,Hogar,Aspiradora Robot,50.09,8,400.71
Febrero,Beatriz,Oficina,Organizador,67.23,2,134.45
Febrero,Carlos,Oficina,Silla Ergonómica,36.87,9,331.8
Marzo,Elena,Tecnología,Laptop,396.38,5,1981.88
Febrero,Carlos,Deportes,Mancuernas,43.15,4,172.59
Enero,Andrés,Oficina,Escritorio,71.75,5,358.74
Enero,Beatriz,Hogar,Aspiradora Robot,103.34,10,1033.38
Enero,Carlos,Deportes,Botella Térmica,54.31,9,488.82
Febrero,Andrés,Oficina,Agenda,38.9,9,350.13
Marzo,Andrés,Tecnología,Laptop,663.6,10,6635.99
Enero,Carlos,Oficina,Escritorio,66.35,2,132.69
Marzo,Beatriz,Oficina,Silla Ergonómica,62.71,7,438.95
Marzo,Andrés,Oficina,Escritorio,94.84,5,474.2
Enero,Diana,Oficina,Escritorio,30.82,7,215.72
Febrero,Elena,Deportes,Bicicleta,70.68,2,141.35
Enero,Beatriz,Deportes,Mancuernas,46.46,9,418.17
Febrero,Carlos,Hogar,Cafetera,76.5,10,764.97
Enero,Beatriz,Hogar,Lámpara LED,149.07,5,745.33
Enero,Carlos,Oficina,Silla Ergonómica,48.64,5,243.18
Febrero,Beatriz,Oficina,Escritorio,51.01,6,306.03
Marzo,Carlos,Hogar,Aspiradora Robot,92.12,8,736.92
Marzo,Beatriz,Oficina,Organizador,53.67,9,483.06
Enero,Beatriz,Oficina,Silla Ergonómica,83.18,5,415.89
Enero,Beatriz,Oficina,Agenda,49.45,3,148.35
Enero,Diana,Deportes,Bicicleta,93.92,10,939.21
Febrero,Elena,Oficina,Agenda,45.22,4,180.87
Febrero,Elena,Tecnología,Monitor 4K,500.38,6,3002.29
Febrero,Beatriz,Tecnología,Mouse Gamer,117.42,10,1174.24
Febrero,Beatriz,Deportes,Bicicleta,55.71,1,55.71
Febrero,Elena,Oficina,Escritorio,74.97,10,749.71
Enero,Carlos,Tecnología,Teclado Mecánico,419.0,3,1257.0
Febrero,Carlos,Hogar,Aspiradora Robot,77.57,8,620.54
Febrero,Carlos,Tecnología,Laptop,304.65,2,609.29
Marzo,Elena,Deportes,Bicicleta,14.75,9,132.75
Febrero,Andrés,Oficina,Agenda,66.5,8,532.0
Febrero,Beatriz,Deportes,Botella Térmica,61.88,3,185.63
Febrero,Diana,Hogar,Lámpara LED,121.26,5,606.31
Marzo,Beatriz,Oficina,Silla Ergonómica,50.59,9,455.35
Febrero,Beatriz,Oficina,Silla Ergonómica,96.96,8,775.65
Enero,Andrés,Oficina,Silla Ergonómica,45.85,2,91.69
Enero,Carlos,Oficina,Organizador,80.66,6,483.95
Marzo,Andrés,Hogar,Lámpara LED,132.01,9,1188.09
Febrero,Andrés,Tecnología,Mouse Gamer,329.37,5,1646.87
Febrero,Beatriz,Oficina,Escritorio,99.8,3,299.4
Febrero,Diana,Oficina,Organizador,31.58,3,94.74
Enero,Carlos,Hogar,Licuadora,103.69,3,311.08
Febrero,Beatriz,Deportes,Botella Térmica,21.89,2,43.79
Enero,Diana,Oficina,Agenda,39.15,1,39.15
Febrero,Carlos,Oficina,Silla Ergonómica,25.73,7,180.11
Enero,Andrés,Tecnología,Laptop,225.79,1,225.79
Marzo,Elena,Hogar,Cafetera,88.88,3,266.65
Marzo,Elena,Tecnología,Mouse Gamer,438.38,6,2630.28
Febrero,Diana,Deportes,Bicicleta,26.01,5,130.04
Marzo,Elena,Hogar,Aspiradora Robot,92.3,1,92.3
Enero,Diana,Tecnología,Mouse Gamer,173.32,8,1386.59
Febrero,Carlos,Tecnología,Monitor 4K,730.51,5,3652.57
Febrero,Beatriz,Oficina,Silla Ergonómica,70.27,5,351.37
Febrero,Carlos,Hogar,Cafetera,128.7,5,643.49
Marzo,Diana,Hogar,Licuadora,26.89,5,134.47
Febrero,Andrés,Oficina,Agenda,58.67,1,58.67
Marzo,Diana,Hogar,Lámpara LED,135.82,2,271.64
Enero,Andrés,Hogar,Lámpara LED,49.24,3,147.71
Enero,Andrés,Deportes,Bicicleta,82.0,10,819.99
Enero,Carlos,Hogar,Cafetera,120.9,8,967.22
Marzo,Diana,Deportes,Botella Térmica,14.55,4,58.21
Marzo,Diana,Oficina,Organizador,90.05,5,450.23
Febrero,Beatriz,Tecnología,Mouse Gamer,730.11,8,5840.88
Marzo,Elena,Oficina,Organizador,93.25,7,652.72
Febrero,Diana,Deportes,Botella Térmica,56.23,9,506.08
